OBJECTID,Shape,COMPKEY,ELMNTKEY,COMPTYPE,SEGKEY,DISTANCE,WIDTH,UNITID,UNITTYPE,UNITDESC,MEASDIST,RECEIPT_NBR,PANDD_NBR,PANDD_NBR_START,MODEL,PAIDAREA,SUBAREA,SIDE,CONDITION,OWNERSHIP,CURRENT_STATUS,PERSO_NBR,PAY_BY_PHONE,WIRELESS_CARRIER,MODEM,CARD_READER,CATEGORY,PS_CONFIGURATION,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,OVERRIDECOMMENT,WKD_RATE1,WKD_START1,WKD_END1,WKD_RATE2,WKD_START2,WKD_END2,WKD_RATE3,WKD_START3,WKD_END3,SAT_RATE1,SAT_START1,SAT_END1,SAT_RATE2,SAT_START2,SAT_END2,SAT_RATE3,SAT_START3,SAT_END3,SUN_RATE1,SUN_START1,SUN_END1,SUN_RATE2,SUN_START2,SUN_END2,SUN_RATE3,SUN_START3,SUN_END3,START_TIME_WKD,END_TIME_WKD,START_TIME_SAT,END_TIME_SAT,START_TIME_SUN,END_TIME_SUN,PEAK_HOUR,SHAPE_LNG,SHAPE_LAT
924,"(47.66491099800004, -122.38159491599998)",630505,9109,109,9042,235,31,PSL-K101,PSL,BALLARD AVE NW 0510 BLOCK SW SIDE ( 222) 222 FT NW/O NW DOCK PL (NWBL-51-21)                                                                                                                                                                                   ,222,K101,11101004,11101,STELIO,Ballard,Edge,SW, ,SDOT,INSVC,1737,86771,T-MOBILE,2G,M500,DISPLAY,,DISTRICT6, ,N,,1,480,659,1,660,1079,,,,1,480,659,1,660,1079,,,,,,,,,,,,,08AM,06PM,08AM,06PM,,,,-122.381594917026007,47.664910997599399
925,"(47.666943235000076, -122.37956851199999)",630419,13046,109,13064,171,-23,PSL-K119,PSL,TALLMAN AVE NW 0520 BLOCK NE SIDE ( 156) 156 FT NW/O NW IONE PL (NWTN-52-12)                                                                                                                                                                                   ,156,K119,11119004,11119,STELIO,Ballard,Edge,NE,GOOD,SDOT,INSVC,1737,86368,T-MOBILE,2G,M500,DISPLAY,,DISTRICT6, ,N,,1,480,659,1,660,1079,,,,1,480,659,1,660,1079,,,,,,,,,,,,,08AM,06PM,08AM,06PM,,,,-122.379568513372007,47.666943233941396
926,"(47.607329768000056, -122.33444803999998)",527904,35422,109,12773,238,-27,PSL-E086,PSL,SENECA ST 0030 BLOCK SE SIDE ( 213) 213 FT NE/O 3RD AVE (12-03-17)                                                                                                                                                                                             ,213,E086,5086002,5086,MS1,Commercial Core,Retail,SE,GOOD,SDOT,INSVC,1331,86993,T-MOBILE,3G, ,DISPLAY,14398,DISTRICT7, ,N,,3.5,480,659,4,660,1019,3.5,1020,1199,3.5,480,659,4,660,1019,3.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.334448041208006,47.607329766844003
927,"(47.60012342300007, -122.33376777399997)",616079,65805,109,20729,103,29,PSL-A128,PSL,S MAIN ST 0010 BLOCK N SIDE (  77) 77 FT E/O 1ST AVE S (S3-01-04)                                                                                                                                                                                              ,77,A128,1128002,1128,MS1,Pioneer Square,Core,N,GOOD,SDOT,INSVC,1652,88305,T-MOBILE,3G, ,DISPLAY,12977,DISTRICT7, ,N,,3,480,659,4.5,660,1079,,,,3,480,659,4.5,660,1079,,,,,,,,,,,,,08AM,06PM,08AM,06PM,,,,-122.333767775291008,47.600123422233196
928,"(47.614788599000065, -122.32091730299999)",528009,54725,109,9447,261,31,PSL-G002,PSL,BROADWAY 0150 BLOCK W SIDE ( 238) 238 FT N/O E PIKE ST (BY-15-21A)                                                                                                                                                                                             ,238,G002,7002002,7002,MS1,Pike-Pine,,W,GOOD,SDOT,INSVC,1355,87487,T-MOBILE,3G, ,DISPLAY,14210,DISTRICT3, ,N,,2.5,480,659,3,660,1019,3.5,1020,1199,2.5,480,659,3,660,1019,3.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.320917304012013,47.6147885980564
929,"(47.668379370000025, -122.38126299499999)",279912,35682,109,13065,508,-23,PSL-K069,PSL,TALLMAN AVE NW 0530 BLOCK NE SIDE ( 508) 508 FT NW/O NW CENTRAL PL (NWTN-53-50)                                                                                                                                                                                ,508,K069,11069004,11069,STELIO,Ballard,Edge,NE,GOOD,SDOT,INSVC,1737,86246,T-MOBILE,2G,M500,DISPLAY,,DISTRICT6, ,N,,1,480,659,1,660,1079,,,,1,480,659,1,660,1079,,,,,,,,,,,,,08AM,06PM,08AM,06PM,,,,-122.381262996052001,47.668379369238096
930,"(47.60943288000004, -122.34556283999996)",614718,76621,109,8727,155,36,PSL-B168,PSL,ALASKAN WAY 0200 BLOCK SW SIDE ( 155) 155 FT NW/O VIRGINIA ST (OA-20-13)                                                                                                                                                                                       ,155,B168,2168002,2168,STELIO,Belltown,South,SW,GOOD,SDOT,INSVC,1354,88229,ATT,3G,M500,DISPLAY,,DISTRICT7, ,N,,2.5,480,659,2.5,660,1019,2.5,1020,1199,2.5,480,659,2.5,660,1019,2.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.345562842057006,47.609432879294495
931,"(47.62447298700005, -122.35358127699999)",617513,11770,109,11763,128,-37,PSL-S185,PSL,MERCER ST 0015 BLOCK S SIDE ( 111) 111 FT E/O WARREN AVE N (N6-01-59)                                                                                                                                                                                          ,111,S185,17185004,17185,STELIO,Uptown,Edge,S,GOOD,SDOT,INSVC,2107,87089,ATT,3G,M500,DISPLAY,,DISTRICT7, ,N,,1.5,480,659,1.5,660,1019,1.5,1020,1199,1.5,480,659,1.5,660,1019,1.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.353581278425011,47.624472986140496
932,"(47.60428103500004, -122.33834138099996)",610768,8854,109,8747,146,-8,PSL-B161,PSL,ALASKAN E RDWY WAY 0100 BLOCK NE SIDE ( 125) 125 FT NW/O MADISON ST (OV-10-08)                                                                                                                                                                                 ,125,B161,2161004,2161,MS1,Commercial Core,Waterfront,NE,GOOD,SDOT,INSVC,1651,86860,T-MOBILE,3G, ,DISPLAY,13238,DISTRICT7, ,N,,4,480,659,4.5,660,1019,4,1020,1199,4,480,659,4.5,660,1019,4,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.338341381714002,47.604281034022897
933,"(47.625965249000046, -122.33957298499996)",609663,8626,109,8535,210.5,-31,PSL-U365,PSL,9TH AVE N 0070 BLOCK E SIDE ( 164) 164 FT N/O BROAD E ST (N09-07-12T)                                                                                                                                                                                          ,164,U365,19365010,19365,REV1,South Lake Union,North,E,GOOD,SDOT,INSVC,2160_$1.00,86124,T-MOBILE,3G, ,DISPLAY,14458,DISTRICT7, ,N,,1.5,480,659,2,660,1079,,,,1.5,480,659,2,660,1079,,,,,,,,,,,,,08AM,06PM,08AM,06PM,,,,-122.339572987072998,47.6259652478875
934,"(47.62304167700006, -122.33114874499995)",606433,35202,109,12567,141,-29,PSL-U064,PSL,REPUBLICAN ST 0125 BLOCK S SIDE ( 129) 129 FT E/O PONTIUS AVE N (N5-12-59)                                                                                                                                                                                     ,129,U064,19064002,19064,STRADA,South Lake Union,South,S,GOOD,SDOT,INSVC,1646,88297,ATT,3G,M900,DISPLAY,,DISTRICT7, ,N,,2.5,480,659,2.5,660,1079,,,,2.5,480,659,2.5,660,1079,,,,,,,,,,,,,08AM,06PM,08AM,06PM,,,,-122.331148746559009,47.6230416762834
935,"(47.61003951200007, -122.34344125299998)",527704,13517,109,13505,425,29,PSL-B033,PSL,WESTERN AVE 0160 BLOCK SW SIDE ( 425) 425 FT NW/O PINE ST (OW-19-41)                                                                                                                                                                                           ,425,B033,2033002,2033,STELIO,Belltown,South,SW,GOOD,SDOT,INSVC,1354,86387,ATT,2G-GPRS,M500,DISPLAY,13767,DISTRICT7, ,N,,2.5,480,659,2.5,660,1019,2.5,1020,1199,2.5,480,659,2.5,660,1019,2.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.343441254734003,47.610039511197897
936,"(47.62320693600003, -122.35712078499995)",282342,23874,109,23692,99,26,PSL-S035,PSL,W REPUBLICAN ST 0009 BLOCK S SIDE (  79) 79 FT W/O QUEEN ANNE AVE N (W5-00-05)                                                                                                                                                                                 ,79,S035,17035002,17035,STELIO,Uptown,Core,S,GOOD,SDOT,INSVC,1654,88131,ATT,3G,M500,DISPLAY,,DISTRICT7, ,N,,1.5,480,659,1.5,660,1019,1.5,1020,1199,1.5,480,659,1.5,660,1019,1.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.357120786196006,47.623206935079793
937,"(47.60552800700003, -122.33916724399995)",615541,12765,109,12768,66,27,PSL-B169,PSL,SENECA ST 0006 BLOCK NW SIDE (  52) 52 FT NE/O ALASKAN E RDWY WAY (12-00-08)                                                                                                                                                                                   ,52,B169,2169002,2169,MS1,Commercial Core,Waterfront,NW,GOOD,SDOT,INSVC,1331,86126,T-MOBILE,3G, ,DISPLAY,14728,DISTRICT7, ,N,,4,480,659,4.5,660,1019,4,1020,1199,4,480,659,4.5,660,1019,4,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.339167245172007,47.605528006533198
938,"(47.61353429400003, -122.33554931599997)",528279,80017,109,12044,232,30,PSL-E040,PSL,OLIVE WAY 0060 BLOCK NW SIDE ( 217) 217 FT NE/O 6TH AVE (17-06-18)                                                                                                                                                                                             ,217,E040,5040102,5040,MS1,Commercial Core,Retail,NW,GOOD,SDOT,INSVC,1475,88228,T-MOBILE,3G, ,DISPLAY,14400,DISTRICT7, ,N,,3.5,480,659,4,660,1019,3.5,1020,1199,3.5,480,659,4,660,1019,3.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,3-7PM,-122.335549317712008,47.6135342928768
939,"(47.61147435000004, -122.34573787899996)",527793,55473,109,10200,262,-17,PSL-B087,PSL,ELLIOTT AVE 0210 BLOCK N SIDE ( 108) 108 FT W/O LENORA ST (OE-21-08)                                                                                                                                                                                           ,108,B087,2087002,2087,MS1,Belltown,South,N,GOOD,SDOT,INSVC,1354,86482,T-MOBILE,3G, ,DISPLAY,13767,DISTRICT7, ,N,,2.5,480,659,2.5,660,1019,2.5,1020,1199,2.5,480,659,2.5,660,1019,2.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.34573788016101,47.611474349526603
940,"(47.619627886000046, -122.33757106599995)",601120,56358,109,11079,224,-27,PSL-U346,PSL,JOHN ST 0095 BLOCK S SIDE ( 196) 196 FT E/O WESTLAKE AVE N (N2-09-67)                                                                                                                                                                                          ,196,U346,19346010,19346,STRADA,South Lake Union,South,S,GOOD,SDOT,INSVC,2160,88269,ATT,3G,M900,DISPLAY,,DISTRICT7, ,N,,2.5,480,659,2.5,660,1079,,,,2.5,480,659,2.5,660,1079,,,,,,,,,,,,,08AM,06PM,08AM,06PM,,,,-122.337571066603999,47.619627885184002
941,"(47.614154357000075, -122.32749306399995)",528250,82489,109,14593,109,29,PSL-G033,PSL,E PIKE ST 0030 BLOCK N SIDE (  95) 95 FT E/O MELROSE AVE (E15-03-08)                                                                                                                                                                                           ,95,G033,7033002,7033,MS1,Pike-Pine,,N,GOOD,SDOT,INSVC,1355,86258,T-MOBILE,3G, ,DISPLAY,14210,DISTRICT3, ,N,,2.5,480,659,3,660,1019,3.5,1020,1199,2.5,480,659,3,660,1019,3.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.327493065241015,47.6141543555702
942,"(47.607494631000066, -122.33865729299998)",527924,68910,109,1007,265,-30,PSL-E062,PSL,1ST AVE 0130 BLOCK NE SIDE ( 250) 250 FT NW/O UNIVERSITY ST (01-13-20)                                                                                                                                                                                         ,250,E062,5062502,5062,MS1,Commercial Core,Retail,NE,GOOD,SDOT,INSVC,1650,86060,T-MOBILE,3G, ,DISPLAY,14399,DISTRICT7, ,N,,3.5,480,659,4,660,1019,3.5,1020,1199,3.5,480,659,4,660,1019,3.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,6-9AM 3-7PM,-122.338657293995993,47.607494629634395
943,"(47.608236462000036, -122.33933579099994)",527956,46246,109,1008,157,-30,PSL-E015,PSL,1ST AVE 0140 BLOCK NE SIDE ( 134) 134 FT NW/O UNION ST (01-14-12)                                                                                                                                                                                              ,134,E015,5015502,5015,MS1,Commercial Core,Retail,NE,GOOD,SDOT,INSVC,1650,86062,T-MOBILE,3G, ,DISPLAY,14399,DISTRICT7, ,N,,3.5,480,659,4,660,1019,3.5,1020,1199,3.5,480,659,4,660,1019,3.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,6-9AM 3-7PM,-122.339335792040004,47.6082364610645
944,"(47.61222014700007, -122.34869963199998)",527819,10209,109,10203,129,28,PSL-B085,PSL,ELLIOTT AVE 0230 BLOCK SW SIDE ( 129) 129 FT NW/O BELL ST (OE-23-07)                                                                                                                                                                                           ,129,B085,2085004,2085,MS1,Belltown,North,SW,GOOD,SDOT,INSVC,1653,86357,T-MOBILE,3G, ,DISPLAY,13839,DISTRICT7, ,N,,1,480,659,1.5,660,1019,1.5,1020,1199,1,480,659,1.5,660,1019,1.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.348699634013002,47.612220146017499
945,"(47.66353594900005, -122.31205602699998)",529415,2089,109,2036,165,24,PSL-L100,PSL,15TH AVE NE 0470 BLOCK W SIDE ( 152) 152 FT N/O NE 47TH ST (NE15-47-13)                                                                                                                                                                                        ,152,L100,12100304,12100,STELIO,University District,Edge,W,GOOD,SDOT,INSVC,2657,86055,ATT,3G,M500,DISPLAY,,DISTRICT4, ,N,,1,480,659,1,660,1079,,,,1,480,659,1,660,1079,,,,,,,,,,,,,08AM,06PM,08AM,06PM,,,7-9AM,-122.312056028449007,47.663535948354493
946,"(47.61530780500004, -122.32625374899999)",528301,59997,109,14628,136,34,PSL-G047,PSL,E PINE ST 0040 BLOCK N SIDE ( 117) 117 FT E/O BELLEVUE AVE (E16-04-04)                                                                                                                                                                                         ,117,G047,7047002,7047,MS1,Pike-Pine,,N,GOOD,SDOT,INSVC,1355,87980,T-MOBILE,3G, ,DISPLAY,14210,DISTRICT3, ,N,,2.5,480,659,3,660,1019,3.5,1020,1199,2.5,480,659,3,660,1019,3.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.326253750590993,47.615307804123901
947,"(47.62360889100006, -122.33700124899997)",337773,81118,109,13122,148,-34,PSL-U285,PSL,TERRY AVE N 0050 BLOCK E SIDE ( 127) 127 FT N/O REPUBLICAN ST (NTY-05-14)                                                                                                                                                                                      ,127,U285,19285002,19285,REV1,South Lake Union,South,E,GOOD,SDOT,INSVC,1646,87710,T-MOBILE,3G, ,DISPLAY,14460,DISTRICT7, ,N,,2.5,480,659,2.5,660,1079,,,,2.5,480,659,2.5,660,1079,,,,,,,,,,,,,08AM,06PM,08AM,06PM,,,,-122.337001250260997,47.623608890314195
948,"(47.61539979500003, -122.33486751599997)",528259,80889,109,12905,193,28,PSL-W139,PSL,STEWART ST 0080 BLOCK NW SIDE ( 173) 173 FT NE/O 8TH AVE (19-08-12)                                                                                                                                                                                            ,173,W139,21139004,21139,MS1,Denny Triangle,North,NW,GOOD,SDOT,INSVC,2265,87990,T-MOBILE,3G, ,DISPLAY,14032,DISTRICT7, ,N,,1.5,480,659,2,660,1079,,,,1.5,480,659,2,660,1079,,,,,,,,,,,,,08AM,06PM,08AM,06PM,,,6-9AM 3-6PM,-122.334867516543,47.615399794159394
949,"(47.602596032000065, -122.33163046799996)",527641,33734,109,11050,243,-25,PSL-A082,PSL,JAMES ST 0020 BLOCK SE SIDE ( 214) 214 FT NE/O 2ND AVE (6-02-17)                                                                                                                                                                                               ,214,A082,1082002,1082,MS1,Pioneer Square,Core,SE,GOOD,SDOT,INSVC,1652,86371,T-MOBILE,3G, ,DISPLAY,12977,DISTRICT7, ,N,,3,480,659,4.5,660,1079,,,,3,480,659,4.5,660,1079,,,,,,,,,,,,,08AM,06PM,08AM,06PM,,,,-122.331630469010008,47.602596030933398
950,"(47.61508052100004, -122.33925795399995)",528029,8002,109,7889,341.5,-36,PSL-J131,PSL,6TH AVE 0200 BLOCK NE SIDE (325.) 325.5 FT NW/O VIRGINIA ST (06-20--26)                                                                                                                                                                                        ,325.5,J131,10131002,10131,MS1,Denny Triangle,South,NE,GOOD,SDOT,INSVC,1355,88238,T-MOBILE,3G, ,DISPLAY,14040,DISTRICT7, ,N,,3.5,480,659,3.5,660,1019,3,1020,1199,3.5,480,659,3.5,660,1019,3,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.339257955735007,47.615080519813702
951,"(47.61166179600008, -122.33481496299999)",591312,30698,109,7883,207,-26,PSL-E044,PSL,6TH AVE 0150 BLOCK NE SIDE ( 188) 188 FT NW/O PIKE ST (06-15-14)                                                                                                                                                                                               ,188,E044,5044002,5044,MS1,Commercial Core,Retail,NE,GOOD,SDOT,INSVC,1331,88268,T-MOBILE,3G, ,DISPLAY,14398,DISTRICT7, ,N,,3.5,480,659,4,660,1019,3.5,1020,1199,3.5,480,659,4,660,1019,3.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.334814964898996,47.611661795531298
952,"(47.613788345000046, -122.35274100499998)",527737,76626,109,8732,215,-32,PSL-B050,PSL,ALASKAN WAY 0260 BLOCK NE SIDE ( 194) 194 FT NW/O VINE ST (OA-26-14)                                                                                                                                                                                           ,194,B050,2050004,2050,MS1,Belltown,North,NE,GOOD,SDOT,INSVC,1653,86548,T-MOBILE,3G, ,DISPLAY,13839,DISTRICT7, ,N,,1,480,659,1.5,660,1019,1.5,1020,1199,1,480,659,1.5,660,1019,1.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.352741006245012,47.613788344309796
953,"(47.62081034900007, -122.34426392699999)",352093,58442,109,13135,184,-31,PSL-S168,PSL,THOMAS ST 0060 BLOCK S SIDE ( 152) 152 FT E/O 6TH AVE N (N3-06-11)                                                                                                                                                                                             ,152,S168,17168010,17168,STRADA,Uptown Triangle,,S,GOOD,SDOT,INSVC,1241,86231,T-MOBILE,2G,M900,DISPLAY,,DISTRICT7, ,N,,1.5,480,659,1.5,660,1079,,,,1.5,480,659,1.5,660,1079,,,,,,,,,,,,,08AM,06PM,08AM,06PM,,,,-122.344263928157005,47.620810348470101
954,"(47.61440000200008, -122.33779112599996)",338367,13545,109,13527,172,33,PSL-J328,PSL,WESTLAKE AVE 0193 BLOCK W SIDE (  90) 90 FT N/O 6TH AVE (X4-19-29)                                                                                                                                                                                             ,90,J328,10328002,10328,MS1,Denny Triangle,South,W,GOOD,SDOT,INSVC,1355,87173,T-MOBILE,3G, ,DISPLAY,14040,DISTRICT7, ,N,,3.5,480,659,3.5,660,1019,3,1020,1199,3.5,480,659,3.5,660,1019,3,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.337791127367012,47.614400001150194
955,"(47.62095304400003, -122.33905577699994)",341633,58445,109,13139,176,28,PSL-U269,PSL,THOMAS ST 0090 BLOCK N SIDE ( 155) 155 FT E/O 9TH AVE N (N3-09-12)                                                                                                                                                                                             ,155,U269,19269002,19269,STRADA,South Lake Union,South,N,GOOD,SDOT,INSVC,1646,86332,ATT,3G,M900,DISPLAY,,DISTRICT7, ,N,,2.5,480,659,2.5,660,1079,,,,2.5,480,659,2.5,660,1079,,,,,,,,,,,,,08AM,06PM,08AM,06PM,,,,-122.339055778487008,47.6209530433716
956,"(47.61532969900003, -122.32181583299996)",528008,37181,109,14633,78,37,PSL-G001,PSL,E PINE ST 0080 BLOCK N SIDE (  65) 65 FT E/O HARVARD AVE (E16-08-02)                                                                                                                                                                                           ,65,G001,7001302,7001,MS1,Pike-Pine,,N,GOOD,SDOT,INSVC,2270,87288,T-MOBILE,3G, ,DISPLAY,14209,DISTRICT3, ,N,,2.5,480,659,3,660,1019,3.5,1020,1199,2.5,480,659,3,660,1019,3.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,7-9AM,-122.32181583368201,47.615329698327294
957,"(47.59828617100004, -122.32692648699998)",280947,43058,109,20598,184,-25,PSL-M014,PSL,S KING ST 0050 BLOCK S SIDE ( 163) 163 FT E/O 5TH AVE S (S5-05-13)                                                                                                                                                                                             ,163,M014,13014002,13014,MS1,Chinatown/ID,Edge,S,GOOD,SDOT,INSVC,1110,86727,T-MOBILE,3G, ,DISPLAY,13011,DISTRICT2, ,N,,0.5,480,659,1.5,660,1019,1.5,1020,1199,0.5,480,659,1.5,660,1019,1.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.326926487760005,47.598286169748093
958,"(47.61692326700006, -122.34767476199994)",282522,81289,109,13304,142,29,PSL-J288,PSL,VINE ST 0030 BLOCK NW SIDE ( 120) 120 FT NE/O 3RD AVE (26-03-02)                                                                                                                                                                                               ,120,J288,10288004,10288,MS1,Belltown,North,NW,GOOD,SDOT,INSVC,2199,86588,T-MOBILE,3G, ,DISPLAY,13844,DISTRICT7, ,N,,1,480,659,1.5,660,1019,1.5,1020,1199,1,480,659,1.5,660,1019,1.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.347674763892002,47.616923265903601
959,"(47.65097428300004, -122.35045486999996)",486539,33338,109,10567,249,-29,PSL-O009,PSL,FREMONT PL N 0340 BLOCK NE SIDE ( 186) 186 FT NW/O FREMONT AVE N (NFP-34-14)                                                                                                                                                                                   ,186,O009,22009002,22009,STRADA,Fremont,,NE,GOOD,SDOT,INSVC,2162,87346,T-MOBILE,2G,M900,DISPLAY,,DISTRICT6, ,N,,1.5,480,659,1.5,660,1019,1.5,1020,1199,1.5,480,659,1.5,660,1019,1.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.350454871960011,47.650974282123002
960,"(47.62764961000005, -122.34219634199997)",672921,134962,109,664106,187,-31,PSL-U382,PSL,DEXTER AVE N 0090 BLOCK E SIDE ( 167) 167 FT N/O ALOHA ST (NDR-09-16)                                                                                                                                                                                          ,167,U382,19382002,19382,MS1,South Lake Union,North,E, ,SDOT,INSVC,,86888,T-MOBILE,3G, ,DISPLAY,14455,DISTRICT7, ,N,,1.5,480,659,2,660,1079,,,,1.5,480,659,2,660,1079,,,,,,,,,,,,,08AM,06PM,08AM,06PM,,,,-122.342196343037003,47.627649608726799
961,"(47.62691518500003, -122.34219069999995)",650339,77982,109,10079,239.5,-34,PSL-U376,PSL,DEXTER AVE N 0080 BLOCK E SIDE ( 217) 217 FT N/O VALLEY ST (NDR-08-18)                                                                                                                                                                                         ,217,U376,19376010,19376,REV1,South Lake Union,North,E, ,SDOT,INSVC,1240,87342,T-MOBILE,3G, ,DISPLAY,14458,DISTRICT7, ,N,,1.5,480,659,2,660,1079,,,,1.5,480,659,2,660,1079,,,,,,,,,,,,,08AM,06PM,08AM,06PM,,,,-122.342190701911008,47.626915184318598
962,"(47.63106061800005, -122.32685113499997)",672918,55454,109,10170,258,-32,PSL-U396,PSL,EASTLAKE AVE E 0120 BLOCK SE SIDE ( 248) 248 FT NE/O E NELSON PL (EE-12-20)                                                                                                                                                                                    ,248,U396,19396010,19396,MS1,South Lake Union,North,SE, ,SDOT,INSVC,,86750,T-MOBILE,3G, ,DISPLAY,14458,DISTRICT3, ,N,,1.5,480,659,2,660,1079,,,,1.5,480,659,2,660,1079,,,,,,,,,,,,,08AM,06PM,08AM,06PM,,,,-122.326851136339002,47.631060617399697
963,"(47.605408960000034, -122.33062384099998)",527887,7246,109,7228,105,-27,PSL-D033,PSL,5TH AVE 0080 BLOCK NE SIDE (  83) 83 FT NW/O COLUMBIA ST (05-08-06)                                                                                                                                                                                            ,83,D033,4033102,4033,MS1,Commercial Core,Financial,NE,GOOD,SDOT,INSVC,1331,86794,T-MOBILE,3G, ,DISPLAY,14688,DISTRICT3,DISTRICT7,N,,4,480,659,4.5,660,1019,3.5,1020,1199,4,480,659,4.5,660,1019,3.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.330623842682002,47.605408958810798
964,"(47.59793478300003, -122.32233650999996)",284868,8542,109,8440,151,28,PSL-M085,PSL,8TH AVE S 0050 BLOCK E SIDE ( 130) 130 FT S/O S KING ST (S08-05-12)                                                                                                                                                                                            ,130,M085,13085002,13085,MS1,Chinatown/ID,Edge,E,GOOD,SDOT,INSVC,1110,86708,T-MOBILE,3G, ,DISPLAY,13011,DISTRICT2, ,N,,0.5,480,659,1.5,660,1019,1.5,1020,1199,0.5,480,659,1.5,660,1019,1.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.32233651072201,47.597934782237694
965,"(47.62709461500003, -122.34292124199999)",672901,76714,109,8814,156,-17,PSL-U386,PSL,ALOHA ST 0070 BLOCK S SIDE ( 121) 121 FT E/O AURORA AVE N (N9-07-11)                                                                                                                                                                                           ,121,U386,19386010,19386,MS1,South Lake Union,North,S, ,SDOT,INSVC,,87353,T-MOBILE,3G, ,DISPLAY,14458,DISTRICT7, ,N,,1.5,480,659,2,660,1079,,,,1.5,480,659,2,660,1079,,,,,,,,,,,,,08AM,06PM,08AM,06PM,,,,-122.342921243461006,47.627094613580006
966,"(47.62468573400008, -122.34044971799995)",642573,130793,109,589798,153,27,PSL-U374,PSL,MERCER NR ST 0080 BLOCK N SIDE ( 153) 153 FT E/O 8TH AVE N (N6-08--14)                                                                                                                                                                                         ,153,U374,19374010,19374,REV1,South Lake Union,South,N, ,SDOT,INSVC,2160,87037,T-MOBILE,3G, ,DISPLAY,14461,DISTRICT7, ,N,,2.5,480,659,2.5,660,1079,,,,2.5,480,659,2.5,660,1079,,,,,,,,,,,,,08AM,06PM,08AM,06PM,,,,-122.340449719226001,47.624685732623902
967,"(47.63018769300004, -122.34242517999996)",672895,77989,109,10081,171,31,PSL-U381,PSL,DEXTER AVE N 0120 BLOCK W SIDE ( 151) 151 FT N/O HIGHLAND DR (NDR-12-11T)                                                                                                                                                                                      ,151,U381,19381002,19381,MS1,South Lake Union,North,W, ,SDOT,INSVC,,87267,T-MOBILE,3G, ,DISPLAY,14455,DISTRICT7, ,N,,1.5,480,659,2,660,1079,,,,1.5,480,659,2,660,1079,,,,,,,,,,,,,08AM,06PM,08AM,06PM,,,,-122.342425181560017,47.630187692385199
968,"(47.61698972500005, -122.33660383299997)",673182,53806,109,8525,307,-25,PSL-W148,PSL,9TH AVE 0200 BLOCK NE SIDE ( 286) 286 FT NW/O VIRGINIA ST (09-20-24)                                                                                                                                                                                           ,286,W148,21148004,21148,MS1,Denny Triangle,North,NE, ,SDOT,INSVC,,86934,T-MOBILE,3G, , ,14035,DISTRICT7, ,N,,1.5,480,659,2,660,1079,,,,1.5,480,659,2,660,1079,,,,,,,,,,,,,08AM,06PM,08AM,06PM,,,,-122.33660383502,47.616989723659799
969,"(47.626198446000046, -122.34290103899997)",672904,13262,109,13263,173,-24,PSL-U388,PSL,VALLEY ST 0070 BLOCK S SIDE ( 133) 133 FT E/O AURORA AVE N (N8-07-11)                                                                                                                                                                                          ,133,U388,19388010,19388,MS1,South Lake Union,North,S, ,SDOT,INSVC,,87534,T-MOBILE,3G, ,DISPLAY,14458,DISTRICT7, ,N,,1.5,480,659,2,660,1079,,,,1.5,480,659,2,660,1079,,,,,,,,,,,,,08AM,06PM,08AM,06PM,,,,-122.342901040168996,47.626198445126896
